blue,73.3531,5.90794,243.768,2.50081
cyan,34.865,2.49007,201.247,3.0463
grey,155.494,109.824,214.148,68.7689
green,239.182,1.91602,187.094,3.86456
black,1.62632,6.55205,240.907,39.3288
red,252.389,11.0263,24.4911,3.99378
yellow,227.188,1.98602,225.583,3.06977
magenta,13.242,1.24425,27.1038,1.71348
white,185.839,98.4255,225.275,51.0383
